country,population_2020,yearly_change,net_change,density,land_area,net_migrants,fertility_rate,median_age,urban_pop_%,world_share
China,1439323776,0.39,5540090,153,9388211,-348399.0,1.7,38.0,61.0,18.47
India,1380004385,0.99,13586631,464,2973190,-532687.0,2.2,28.0,35.0,17.7
United States,331002651,0.59,1937734,36,9147420,954806.0,1.8,38.0,83.0,4.25
Indonesia,273523615,1.07,2898047,151,1811570,-98955.0,2.3,30.0,56.0,3.51
Pakistan,220892340,2.0,4327022,287,770880,-233379.0,3.6,23.0,35.0,2.83
Brazil,212559417,0.72,1509890,25,8358140,21200.0,1.7,33.0,88.0,2.73
Nigeria,206139589,2.58,5175990,226,910770,-60000.0,5.4,18.0,52.0,2.64
Bangladesh,164689383,1.01,1643222,1265,130170,-369501.0,2.1,28.0,39.0,2.11
Russia,145934462,0.04,62206,9,16376870,182456.0,1.8,40.0,74.0,1.87
Mexico,128932753,1.06,1357224,66,1943950,-60000.0,2.1,29.0,84.0,1.65
Japan,126476461,-0.3,-383840,347,364555,71560.0,1.4,48.0,92.0,1.62
Ethiopia,114963588,2.57,2884858,115,1000000,30000.0,4.3,19.0,21.0,1.47
Philippines,109581078,1.35,1464463,368,298170,-67152.0,2.6,26.0,47.0,1.41
Egypt,102334404,1.94,1946331,103,995450,-38033.0,3.3,25.0,43.0,1.31
Vietnam,97338579,0.91,876473,314,310070,-80000.0,2.1,32.0,38.0,1.25
DR Congo,89561403,3.19,2770836,40,2267050,23861.0,6.0,17.0,46.0,1.15
Turkey,84339067,1.09,909452,110,769630,283922.0,2.1,32.0,76.0,1.08
Iran,83992949,1.3,1079043,52,1628550,-55000.0,2.2,32.0,76.0,1.08
Germany,83783942,0.32,266897,240,348560,543822.0,1.6,46.0,76.0,1.07
Thailand,69799978,0.25,174396,137,510890,19444.0,1.5,40.0,51.0,0.9
United Kingdom,67886011,0.53,355839,281,241930,260650.0,1.8,40.0,83.0,0.87
France,65273511,0.22,143783,119,547557,36527.0,1.9,42.0,82.0,0.84
Italy,60461826,-0.15,-88249,206,294140,148943.0,1.3,47.0,69.0,0.78
Tanzania,59734218,2.98,1728755,67,885800,-40076.0,4.9,18.0,37.0,0.77
South Africa,59308690,1.28,750420,49,1213090,145405.0,2.4,28.0,67.0,0.76
Myanmar,54409800,0.67,364380,83,653290,-163313.0,2.2,29.0,31.0,0.7
Kenya,53771296,2.28,1197323,94,569140,-10000.0,3.5,20.0,28.0,0.69
South Korea,51269185,0.09,43877,527,97230,11731.0,1.1,44.0,82.0,0.66
Colombia,50882891,1.08,543448,46,1109500,204796.0,1.8,31.0,80.0,0.65
Spain,46754778,0.04,18002,94,498800,40000.0,1.3,45.0,80.0,0.6
Uganda,45741007,3.32,1471413,229,199810,168694.0,5.0,17.0,26.0,0.59
Argentina,45195774,0.93,415097,17,2736690,4800.0,2.3,32.0,93.0,0.58
Algeria,43851044,1.85,797990,18,2381740,-10000.0,3.1,29.0,73.0,0.56
Sudan,43849260,2.42,1036022,25,1765048,-50000.0,4.4,20.0,35.0,0.56
