LGA,Average Nighttime mean,system:index,AREA,state,Latitude,Longitude,PERIMETER,Population
Ukanafun,0.04962264,711,279.592,Akwa Ibom,4.879845413,7.598512292,89.558,107806.5606
Uruan,0.325948581,700,291.551,Akwa Ibom,4.983042047,8.042332121,89.334,117372.1739
Urue Offong-Oruko,0.194968689,731,127.666,Akwa Ibom,4.710338154,8.158939634,51.303,48854.2567
Uyo,2.214396498,704,188.375,Akwa Ibom,5.005173783,7.898351423,97.473,542051.0411
Aguata,0.239580589,616,162.798,Anambra,5.974717947,7.046606351,54.538,436697.0714
Anambra East,0.370568918,575,380.294,Anambra,6.298195667,6.857310435,97.287,102936.7594
Anambra West,0.035148183,535,743.236,Anambra,6.490933791,6.799636875,155.613,27477.1951
Anaocha,0.295962236,602,105.321,Anambra,6.074199998,6.995682913,53.252,164136.1385
Awka North,0.139311211,577,389.636,Anambra,6.329009787,7.04082127,81.161,65268.241
Awka South,0.971216758,596,171.447,Anambra,6.177681443,7.061528258,55.585,243014.3155
Ayamelum,0.029731711,541,570.041,Anambra,6.568544978,6.97476177,123.942,75584.5071
Dunukofia,0.44490345,591,58.595,Anambra,6.222779447,6.936867761,48.573,76836.4904
Ekwusigo,0.51273581,611,107.371,Anambra,5.989851887,6.824937001,50.143,247284.6498
Idemili North,1.330278063,603,87.655,Anambra,6.106388594,6.883223364,45.71,575468.8109
Idemili South,0.697344461,608,111.133,Anambra,6.058429623,6.878222239,59.047,241855.6171
Ihiala,0.163842537,631,222.332,Anambra,5.827074157,6.855384875,67.256,357811.2608
Njikoka,0.569081898,597,94.111,Anambra,6.173702942,6.966262209,47.434,192143.9473
Nnewi North,0.908528456,612,64.805,Anambra,5.988821657,6.884558206,38.631,221114.916
Nnewi South,0.347799107,620,168.774,Anambra,5.927793556,6.92003924,71.588,212751.7749
Ogbaru,0.519564873,610,398.903,Anambra,5.854825812,6.722517553,102.653,160155.3636
Onitsha North,3.147911307,605,28.143,Anambra,6.110008079,6.784489526,23.46,202210.3353
Onitsha South,0.589433046,607,17.16,Anambra,6.077638522,6.754701648,16.732,84706.0179
Orumba North,0.170412631,598,364.756,Anambra,6.094551787,7.146126859,95.183,117156.0359
Orumba South,0.037180685,614,231.92,Anambra,5.980174023,7.219784987,70.712,169796.0113
Oyi,0.943519845,590,131.681,Anambra,6.193537183,6.87294348,57.057,254355.5521
Alkaleri,-0.012105507,250,6133.911,Bauchi,9.857096466,10.51548187,387.282,362218.7402
Bauchi,0.062811582,241,3976.84,Bauchi,10.21572109,9.947538904,292.294,1106399.687
Bogoro,-0.010802112,277,653.946,Bauchi,9.63070195,9.607500311,107.026,73421.4601
Dambam,0.009743745,163,988.286,Bauchi,11.58617408,10.82629041,129.903,186966.9639
Darazo,-0.002040799,196,2498.174,Bauchi,11.13608991,10.62480832,277.019,374451.2703
Dass,-0.008027794,259,528.632,Bauchi,9.997326957,9.477049953,95.753,68763.5707
Gamawa,0.004188126,97,2980.671,Bauchi,12.0205131,10.6215411,244.217,324234.8112
Ganjuwa,-0.017366991,215,5305.348,Bauchi,10.73273513,10.02398979,371.544,492864.8898
Giade,0.001089729,182,656.404,Bauchi,11.38637711,10.25704036,132.978,194222.8249
Itas-Gadau,0.003665154,131,1545.691,Bauchi,11.84799724,10.0531601,232.697,269534.8425
Jama'are,0.017759418,165,549.474,Bauchi,11.67476838,9.932731365,109.066,78398.9897
Katagum,0.033905832,160,1952.149,Bauchi,11.61705844,10.27555675,323.023,509023.2961
Kirfi,-0.009044492,230,2526.468,Bauchi,10.40618407,10.5701701,203.789,169863.8847
Misau,0.003731099,185,1216.757,Bauchi,11.361715,10.50081734,171.161,254129.1898
Ningi,-0.005676119,202,5194.948,Bauchi,11.02346261,9.209002617,296.504,402363.3813
Shira,-0.003260689,181,908.407,Bauchi,11.42629799,10.08963259,127.18,301452.7932
Tafawa-Balewa,-0.010850502,253,2188.108,Bauchi,9.821817066,9.535744422,308.155,224143.708
Toro,-0.004898088,222,7111.208,Bauchi,10.39841051,9.211837228,408.122,427405.9482
Warji,0.000166,204,650.683,Bauchi,11.13648212,9.748367342,98.432,100757.2783
Zaki,-0.000246,85,1691.28,Bauchi,12.21469196,10.38161947,254.3,258412.4826
Brass,2.413668445,733,1913.948,Bayelsa,4.457937412,6.382969789,330.64,55998.3922
Ekeremor,1.057892503,696,1866.706,Bayelsa,4.946600447,5.690094081,217.528,102513.8792
Kolokuma-Opokuma,0.760767173,692,444.124,Bayelsa,5.08284065,6.266153951,104.426,48605.1011
Nembe,10.69227345,742,940.308,Bayelsa,4.50931175,6.346443632,142.85,32004.9445
Ogbia,1.336557527,715,753.329,Bayelsa,4.74924154,6.32063752,144.208,154405.6104
Sagbama,0.318002039,679,894.395,Bayelsa,5.112981541,6.183005503,252.89,103732.1235
Southern Ijaw,0.852713931,708,2639.512,Bayelsa,4.669055961,5.922694051,278.181,136499.6541
Yenegoa,3.989982477,678,747.564,Bayelsa,5.080931831,6.386172758,203.642,466191.9304
Ado,-0.006755062,513,1046.856,Benue,6.77366186,7.976493576,151.053,97320.3358
Agatu,-0.002805334,389,1250.779,Benue,7.854869729,7.906101207,163.301,97127.425
Apa,-0.006729207,420,893.602,Benue,7.61159785,7.888079285,118.497,156849.381
Buruku,0.011702884,432,1590.457,Benue,7.373239474,9.143150436,235.885,203786.1252
Gboko,0.110020245,447,1928.288,Benue,7.321215008,8.864007789,214.203,366013.4358
Guma,-0.002970153,373,2816.251,Benue,7.910057467,8.736229154,264.898,137860.6573
Gwer East,0.021234191,435,2480.175,Benue,7.358386549,8.420729979,240.002,173199.4237
Gwer West,0.005563953,409,1245.699,Benue,7.632111561,8.216564874,144.894,99899.19
Katsina-Ala,-0.008645593,445,2700.759,Benue,7.321699776,9.570645,251.782,411120.5548
Konshisha,0.002423673,477,1542.866,Benue,7.029929957,8.660368615,196.88,191629.5787
Kwande,-0.00517092,486,3077.589,Benue,6.822015632,9.500928944,299.203,374194.2894
Logo,-0.000352,401,1383.538,Benue,7.708541192,9.22626636,185.067,289361.0838
Makurdi,0.375856444,407,837.854,Benue,7.704199152,8.535874668,108.515,484382.0264
Obi,0.024439766,504,419.133,Benue,6.975769994,8.277010969,92.957,89982.8918
Ogbadibo,0.010736552,499,516.292,Benue,6.972802945,7.65712888,116.152,123109.639
Ohimini,0.021308336,480,632.463,Benue,7.207440188,7.949890761,106.807,90467.0966
Oju,0.036995951,511,1099.64,Benue,6.830370304,8.359106027,173.859,123143.0426
Okpokwu,-0.002416685,494,726.903,Benue,7.010938278,7.851019985,143.128,132298.7832
Oturkpo,0.120614301,443,1338.187,Benue,7.266962248,8.067640674,220.928,159855.4928
Tarka,0.081796843,428,384.891,Benue,7.58395682,8.850287453,83.03,53304.5592
Ukum,-0.012899769,403,1515.396,Benue,7.652141715,9.583520569,159.013,339565.3791
Ushongo,0.003657188,491,1268.178,Benue,7.044107443,9.088712921,196.014,124189.5578
Vandeikya,-0.0016449,512,766.631,Benue,6.830871318,9.055975942,122.298,129127.1265
Abadam,0.005252385,3,2430.515,Borno,13.36485957,13.18698733,288.957,135760.3274
Askira-Uba,-0.017671898,223,2198.599,Borno,10.64062904,13.02572894,275.575,281027.3177
Bama,-0.001912477,157,4486.311,Borno,11.5505769,14.15011944,333.282,250440.4888
Bayo,-0.005910769,227,1065.878,Borno,10.42057698,11.78995132,152.602,168992.5932
Biu,-0.007042969,214,3326.788,Borno,10.79187619,12.18489382,268.829,289775.9136
Chibok,-0.022636835,220,1399.068,Borno,10.8267441,12.87992709,149.955,118923.1077
Damboa,-0.010433045,188,6485.544,Borno,11.12721545,12.83707508,427.86,190951.26
Dikwa,0.001068616,122,1791.347,Borno,11.91447882,14.12030319,199.168,102234.1057
Gubio,0.000283,37,2504.059,Borno,12.66355235,12.79492413,215.022,171860.1275
Guzamala,-0.003590599,23,2313.066,Borno,12.87652106,13.27319115,245.222,127734.4799
Gwoza,-0.007585018,191,2432.214,Borno,11.18755933,13.64766461,206.635,276180.7135
Hawul,0.002417804,233,2079.023,Borno,10.45714313,12.37203964,217.165,253529.6761
Jere,0.040320758,123,873.84,Borno,11.90229268,13.25051564,184.365,445745.4384
Kaga,-0.008462529,149,2773.567,Borno,11.64686882,12.54235674,238.477,130899.3899
Kala-Balge,-0.003355443,96,1241.455,Borno,12.03717258,14.52584329,188.29,67193.308
Konduga,0.025552605,119,5889.791,Borno,11.61215034,13.18172978,515.01,194740.7099
Kukawa,-0.002342662,14,2086.713,Borno,12.98130153,13.59553353,273.008,136617.853
Kwaya Kusar,-0.010025813,236,735.947,Borno,10.4407422,11.98078451,119.134,132714.4587
Mafa,0.006400776,103,2933.849,Borno,12.0127148,13.61784753,270.565,141063.0577
Magumeri,-0.003684781,79,5133.506,Borno,12.17777926,12.67468465,305.925,272045.2321
Maiduguri,1.014361032,148,131.23,Borno,11.85275147,13.19961504,54.355,635562.262
Marte,-0.000289,751,2283.258,Borno,12.33787792,13.85996069,238.341,154938.5883
Mobbar,0.007709122,752,3244.578,Borno,13.05313572,12.70124146,298.171,192501.7927
Monguno,-0.00178373,64,1515.039,Borno,12.48464241,13.55810823,192.641,186832.2079
Ngala,-0.007311463,90,1328.809,Borno,12.19786195,14.27299468,153.916,145226.4957
Nganzai,0.002294147,48,2502.439,Borno,12.48698824,13.17752524,243.165,143482.0664
Shani,-0.011039936,246,1197.438,Borno,10.17414081,12.06538259,150.52,229340.1423
Abi,0.033132889,621,286.553,Cross River,5.893076373,8.008272591,95.948,104224.5216
Akamkpa,0.029720776,644,5364.582,Cross River,5.392125027,8.512955944,313.13,113083.7172
Akpabuyo,0.235302567,703,788.467,Cross River,4.894734498,8.460709596,160.101,150813.4611
Bakassi,0.07050635,766,85.967,Cross River,4.760766761,8.522511397,57.43,19336.9218
Bekwarra,0.004987691,531,314.478,Cross River,6.680814147,8.902442361,75.267,206947.6159
Biase,0.022844805,643,1259.1,Cross River,5.530616406,8.042000429,160.852,102120.1199
Boki,-0.012700187,563,2920.989,Cross River,6.262513029,8.990905206,238.495,186000.0195
Calabar Municipal,1.959756607,705,159.688,Cross River,4.995681936,8.315485437,62.032,116264.7902
Calabar South,0.116433914,750,116.018,Cross River,4.880046111,8.261661602,69.79,468435.1919
Etung,-0.021257644,615,906.435,Cross River,5.838645707,8.775233591,148.887,56484.5846
Ikom,-0.00027,584,2009.384,Cross River,6.063318329,8.589229701,216.359,207818.667
Obanliku,0.008417894,547,969.419,Cross River,6.509171851,9.289703683,153.555,139015.9681
Obubra,0.006680311,594,1161.558,Cross River,5.975039277,8.342099597,190.086,139957.2753
Obudu,0.041086985,548,380.983,Cross River,6.559269698,9.038742697,103.173,169041.6584
Odukpani,0.055515601,672,1120.03,Cross River,5.156636617,8.121019059,225.605,229780.6389
Ogoja,0.010631399,545,978.429,Cross River,6.495148445,8.706222025,196.574,181443.2738
Yakurr,0.021603566,623,671.75,Cross River,5.790790888,8.152380291,113.351,166451.1264
Yala,0.009492895,522,1766.567,Cross River,6.654956036,8.584073028,248.897,212311.1729
Aniocha North,0.037801035,572,467.838,Delta,6.362373599,6.479313473,108.565,115125.7639
Aniocha South,0.078214685,592,868.426,Delta,6.12828811,6.483341554,139.207,175655.2
Bomadi,0.096333457,767,125.056,Delta,5.204623889,5.85268573,104.863,38411.9059
Burutu,0.13905414,675,1826.651,Delta,5.234538472,5.589717721,300.455,56573.5592
Ethiope East,0.291504546,769,388.51,Delta,5.687990598,5.984137042,115.623,153983.2985
Ethiope West,0.703103922,613,545.782,Delta,5.919964022,5.729387148,121.195,217226.3796
Ika North East,0.076645116,583,505.941,Delta,6.228645124,6.289631095,118.078,138841.2073
Ika South,0.175979013,587,543.252,Delta,6.175506375,6.180349238,158.834,212473.0897
Isoko North,0.844770538,770,485.467,Delta,5.524930792,6.23413937,169.369,144938.9699
Isoko South,0.361931511,666,681.18,Delta,5.382090524,6.214173356,135.47,119714.3161
Ndokwa East,7.239749161,619,1715.942,Delta,5.670289079,6.507709107,268.931,63546.1978
Ndokwa West,6.084256737,618,862.988,Delta,5.802950085,6.335875143,183.581,172683.9772
Okpe,0.443623346,641,438.128,Delta,5.681358951,5.781110429,113.865,100075.3753
Oshimili North,0.167478238,571,499.511,Delta,6.322734755,6.644453093,119.275,238649.4999
Oshimili South,0.690527704,595,307.892,Delta,6.09213037,6.681719138,101.388,197977.6817
Patani,0.126787441,686,211.025,Delta,5.180555001,6.1001111,95.384,27791.0131
Sapele,2.59592938,627,434.734,Delta,5.825781711,5.642623414,103.379,234314.3093
Udu,5.323072439,665,135.533,Delta,5.472215179,5.822032182,53.028,200128.0998
Ughelli North,1.263589689,646,822.466,Delta,5.511216915,6.048206155,223.999,316911.4894
Ughelli South,2.551891865,663,782.897,Delta,5.340625533,5.893230876,245.817,130100.252
Ukwuani,8.689126524,624,416.726,Delta,5.844808328,6.237414418,90.142,112091.4528
Uvwie,4.695164342,658,99.771,Delta,5.571573599,5.776016265,52.264,219953.1106
Warri North,0.584901025,606,1746.102,Delta,5.879112106,5.252769135,252.816,35259.6832
Warri South,1.596521839,640,579.727,Delta,5.613793944,5.607036004,136.014,235394.9836
Warri South-West,2.05012709,638,1677.985,Delta,5.571430178,5.409900336,232.485,7330.4822
Abakaliki,0.091655813,588,538.788,Ebonyi,6.245258485,8.200929715,115.209,209435.7015
Afikpo North,0.040870734,625,199.676,Ebonyi,5.876505941,7.90796581,65.896,179701.0279
Afikpo South,0.010400134,626,331.552,Ebonyi,5.831682387,7.802751751,89.97,97846.9439
Ebonyi,0.224203138,538,457.044,Ebonyi,6.493454443,8.112049561,119.447,339494.7243
Ezza North,0.009702485,585,306.682,Ebonyi,6.248325375,7.965489198,74.207,103808.4696
Ezza South,0.014180304,601,329.324,Ebonyi,6.11182265,8.002024081,101.354,111714.3004
Ikwo,0.003646645,600,463.579,Ebonyi,6.07863875,8.172586212,114.72,355238.0451
Ishielu,0.014195713,556,915.997,Ebonyi,6.411876639,7.811789081,136.136,137950.5077
Ivo,0.020051938,622,289.41,Ebonyi,5.894673344,7.611006364,69.047,143742.2859
Izzi,0.011330273,532,1095.328,Ebonyi,6.504999481,8.264334231,157.832,486500.6744
Ohaozara,0.03059015,609,301.588,Ebonyi,5.988413162,7.778947188,77.779,193927.4906
Ohaukwu,0.079823097,544,537.844,Ebonyi,6.515367831,8.008563052,110.995,236376.7022
Onicha,0.005026283,599,448.79,Ebonyi,6.107157421,7.833381693,116.657,175794.9817
Akoko-Edo,0.078387333,448,1300.022,Edo,7.342464971,6.110688504,207.76,126441.257
Egor,1.058845885,580,107.951,Edo,6.349095537,5.555675851,47.072,545306.6287
Esan Central,0.160966163,530,255.573,Edo,6.71331724,6.228169889,104.891,108583.4243
Esan North-East,0.148509336,521,346.119,Edo,6.757145904,6.373383651,108.48,177680.8083
Esan South-East,0.021805365,534,1275.819,Edo,6.582709425,6.45945927,163.791,75780.5871
Esan West,0.137059388,529,505.89,Edo,6.654504609,6.111452593,132.532,157251.7167
Etsako Central,0.014358004,497,682.427,Edo,6.956465324,6.503823302,143.335,79365.1006
Etsako East,0.078849888,475,1232.928,Edo,7.185711248,6.489819578,180.692,121197.8272
Etsako West,0.138578737,493,970.942,Edo,6.975679232,6.291693921,156.708,223420.4155
Iguegben,0.102413659,552,398.103,Edo,6.50122403,6.219284465,111.964,53344.5201
Ikpoba-Okha,1.144924316,581,840.84,Edo,6.164446808,5.622840125,162.369,826000.1532
Oredo,0.817090553,586,262.469,Edo,6.213638973,5.523658739,82.168,495685.3049
Orhionmwon,1.585779594,582,2314.122,Edo,6.051644949,5.975670493,264.797,142292.2916
Ovia North-East,0.635410104,527,2369.425,Edo,6.480107187,5.506323442,345.447,238742.5167
Ovia South-West,0.076416368,526,2840.632,Edo,6.476808102,5.236962149,272.916,113198.9258
Owan East,0.056095672,489,1237.467,Edo,7.02752013,6.03244493,162.804,97431.8807
Owan West,0.061246845,506,705.306,Edo,6.902250109,5.87207887,128.408,71964.6956
Uhunmwonde,0.152083808,533,2027.641,Edo,6.492221916,5.88451998,186.343,366680.6406
Ado-Ekiti,0.341422325,434,323.285,Ekiti,7.596663669,5.278622535,82.789,563308.2752
Efon,0.073120282,417,178.489,Ekiti,7.661164227,4.955121704,60.518,55118.8644
Ekiti East,0.027952749,412,220.248,Ekiti,7.736422149,5.682819506,71.896,111712.0324
Ekiti South-West,0.04714199,441,307.087,Ekiti,7.509142442,5.076424331,83.109,67470.3555
Ekiti West,0.040228858,406,277.023,Ekiti,7.657539393,5.011015819,97.777,111331.8548
Emure,0.028031879,452,287.28,Ekiti,7.426410865,5.506011953,72.517,64423.5307
Gbonyin,0.018137575,427,420.251,Ekiti,7.598727168,5.499043653,107.031,91611.8421
Ido-Osi,0.078137443,399,262.414,Ekiti,7.840843085,5.168330358,69.305,156107.9381
Ijero,0.045772358,400,347.719,Ekiti,7.816727956,5.039569308,77.034,155667.9321
Ikere,0.181411962,450,204.225,Ekiti,7.483645471,5.219150253,61.707,125810.0766
Ikole,0.01389758,380,1005.353,Ekiti,7.862408059,5.512289218,157.519,148907.5508
Ilejemeje,0.032899788,391,100.102,Ekiti,7.93042652,5.217003545,43.234,28278.8962
Irepodun-Ifelodun,0.105352896,418,380.122,Ekiti,7.6970178,5.224239015,94.679,114916.1097
Ise-Orun,0.030714999,761,336.193,Ekiti,7.426272032,5.395239663,93.604,82734.8123
Moba,0.087674097,387,140.162,Ekiti,7.971167119,5.114304393,56.248,96584.7533
Oye,0.024298963,388,468.89,Ekiti,7.858469248,5.33933691,96.735,99727.5589
Aninri,0.036227422,604,293.127,Enugu,6.039421992,7.589767856,77.471,107066.2583
Awgu,0.141788206,589,451.503,Enugu,6.14519548,7.437002369,96.867,150902.5749
Enugu East,0.57383655,555,331.351,Enugu,6.548962616,7.539074218,74.022,328431.374
Enugu North,3.462541079,573,158.204,Enugu,6.447309197,7.537338407,65.198,265167.8108
Enugu South,1.895001462,578,70.528,Enugu,6.39608161,7.506341278,40.353,203455.5005
Ezeagu,0.075567682,566,618.06,Enugu,6.398115629,7.202846137,114.805,179742.0722
Igbo-Etiti,0.064408266,537,348.216,Enugu,6.67496908,7.406507066,77.96,113133.8798
Igbo-Eze-North,0.035327126,500,329.982,Enugu,7.009783835,7.438469152,69.29,108773.394
Igbo-Eze-South,0.06559927,507,184.238,Enugu,6.955858317,7.352201054,75.474,97396.0604
Isi-Uzo,0.018951468,525,893.94,Enugu,6.730658712,7.692936799,135.109,111648.6699
Nkanu East,0.090163535,559,829.008,Enugu,6.299242054,7.652077724,173.685,130290.9692
Nkanu West,0.462025449,579,275.984,Enugu,6.310981374,7.50901851,74.576,96747.5779
Nsukka,0.149540675,509,499.389,Enugu,6.839199875,7.353340265,126.22,370878.1713
Oji-River,0.131874361,593,372.979,Enugu,6.152150558,7.269474765,102.628,89078.976
Udenu,0.115684929,517,251.162,Enugu,6.861960522,7.549459749,67.231,142060.8562
Udi,0.178933778,550,925.411,Enugu,6.475583049,7.309750795,170.566,267391.4286
Uzo-Uwani,0.025978269,520,902.676,Enugu,6.734888056,7.120716267,184.382,92694.5514
Akko,0.204100056,245,2864.11,Gombe,10.14825693,11.06931737,266.37,548030.2024
Balanga,0.0000367,260,1801.476,Gombe,9.844473884,11.72003397,216.627,214769.5019
Billiri,-0.005537116,265,839.195,Gombe,9.881023632,11.18028806,136.965,177841.587
Dukku,-0.006666514,205,3692.063,Gombe,10.80601386,10.87001452,270.941,256370.1804
Funakaye,0.043252227,218,1415.664,Gombe,10.80644346,11.40955096,150.326,207208.1497
Gombe,0.152181353,248,15.194,Gombe,10.31250932,11.24010499,15.776,285470.5997
Kaltungo,-0.008582746,262,1061.022,Gombe,9.87648258,11.50372216,143.977,174806.4627
Kwami,0.006232231,228,1658.694,Gombe,10.53238485,11.24020958,181.361,300006.3653
Nafada,0.002184343,203,1895.418,Gombe,11.10013024,11.21462745,171.672,93525.7254
Shomgom,-0.011925741,269,851.998,Gombe,9.687557856,11.24573221,127.024,134735.1645
Yamaltu-Deba,0.004686759,237,2169.225,Gombe,10.30178023,11.5398992,217.043,468311.0687
Aboh-Mbaise,0.154241151,673,167.423,Imo,5.425494184,7.25180357,71.728,294875.8995
Ahiazu-Mbaise,0.180510884,661,101.874,Imo,5.546393699,7.271346947,43.628,246518.3252
Ehime -Mbano,0.076361705,649,150.433,Imo,5.664908115,7.303041892,54.315,237419.3011
Ezinihitte,0.115274221,668,98.884,Imo,5.464619314,7.326616321,41.875,227651.9544
Ideato North,0.054400293,629,186.445,Imo,5.866929768,7.15943157,73.368,401331.2199
Ideato South,0.03161456,634,85.381,Imo,5.790747181,7.155467773,39.54,134290.1285
Ihitte-Uboma,0.139053909,654,71.269,Imo,5.621824102,7.365254042,44.026,135298.9168
Ikeduru,0.22380449,660,179.608,Imo,5.550246189,7.164229734,55.451,367991.7583
Isiala Mbano,0.096611405,651,183.36,Imo,5.667665288,7.203378758,64.341,462750.3562
