,NAME_2,Average Nighttime mean,system:index,AREA,NAME_1,Latitude,Longitude,PERIMETER,Population,population density,clusters,cluster labels
1,Aba South,1.949728226,699,51.131,Abia,5.071438184,7.341737236,29.855,380211.9108,7436.035102,4,moderately_low_intensity
18,Municipal Area Council,3.062904556,314,1585.32,Abuja,8.955237074,7.349282513,206.501,1913131.592,1206.779447,4,moderately_low_intensity
46,Eket,2.721918416,738,189.114,Akwa Ibom,4.628249078,7.942930075,64.858,231350.8815,1223.34085,4,moderately_low_intensity
74,Uyo,2.214396498,704,188.375,Akwa Ibom,5.005173783,7.898351423,97.473,542051.0411,2877.510504,4,moderately_low_intensity
84,Idemili North,1.330278063,603,87.655,Anambra,6.106388594,6.883223364,45.71,575468.8109,6565.156704,4,moderately_low_intensity
91,Onitsha North,3.147911307,605,28.143,Anambra,6.110008079,6.784489526,23.46,202210.3353,7185.102345,4,moderately_low_intensity
92,Onitsha South,0.589433046,607,17.16,Anambra,6.077638522,6.754701648,16.732,84706.0179,4936.248129,4,moderately_low_intensity
123,Yenegoa,3.989982477,678,747.564,Bayelsa,5.080931831,6.386172758,203.642,466191.9304,623.6147412,4,moderately_low_intensity
167,Maiduguri,1.014361032,148,131.23,Borno,11.85275147,13.19961504,54.355,635562.262,4843.117138,4,moderately_low_intensity
202,Ndokwa East,7.239749161,619,1715.942,Delta,5.670289079,6.507709107,268.931,63546.1978,37.03283549,4,moderately_low_intensity
203,Ndokwa West,6.084256737,618,862.988,Delta,5.802950085,6.335875143,183.581,172683.9772,200.1000908,4,moderately_low_intensity
209,Udu,5.323072439,665,135.533,Delta,5.472215179,5.822032182,53.028,200128.0998,1476.600531,4,moderately_low_intensity
212,Ukwuani,8.689126524,624,416.726,Delta,5.844808328,6.237414418,90.142,112091.4528,268.9811838,4,moderately_low_intensity
213,Uvwie,4.695164342,658,99.771,Delta,5.571573599,5.776016265,52.264,219953.1106,2204.579593,4,moderately_low_intensity
231,Egor,1.058845885,580,107.951,Edo,6.349095537,5.555675851,47.072,545306.6287,5051.427302,4,moderately_low_intensity
267,Enugu North,3.462541079,573,158.204,Enugu,6.447309197,7.537338407,65.198,265167.8108,1676.113188,4,moderately_low_intensity
268,Enugu South,1.895001462,578,70.528,Enugu,6.39608161,7.506341278,40.353,203455.5005,2884.747909,4,moderately_low_intensity
308,Oguta,5.645851799,645,480.132,Imo,5.658026487,6.812349004,100.352,140054.3646,291.6997088,4,moderately_low_intensity
315,Owerri Municipal,3.289780336,671,34.244,Imo,5.478296435,7.034816831,23.8,276963.3949,8087.939344,4,moderately_low_intensity
354,Kaduna North,6.531496567,235,87.798,Kaduna,10.56083239,7.455289515,53.048,312885.45,3563.696781,4,moderately_low_intensity
355,Kaduna South,7.77297752,240,60.113,Kaduna,10.47372385,7.422602543,38.603,305109.466,5075.598722,4,moderately_low_intensity
393,Kumbotso,1.911886744,147,162.81,Kano,11.90499976,8.497289107,63.807,997846.4213,6128.901304,4,moderately_low_intensity
410,Ungogo,3.717411098,126,187.442,Kano,12.04681019,8.504618378,76.109,888851.0263,4742.005667,4,moderately_low_intensity
433,Katsina,2.606165846,32,145.475,Katsina,13.00103211,7.611729149,46.744,644651.8899,4431.358583,4,moderately_low_intensity
496,Ilorin West,1.735200881,349,98.404,Kwara,8.47156965,4.554961919,52.512,345260.7176,3508.604504,4,moderately_low_intensity
508,Amuwo Odofin,3.306997327,569,190.955,Lagos,6.450737649,3.264784915,67.32,377541.2873,1977.121768,4,moderately_low_intensity
516,Ikorodu,3.576643951,546,369.494,Lagos,6.626210641,3.558520355,88.09,1241907.315,3361.102793,4,moderately_low_intensity
517,Kosofe,8.81912905,554,74.118,Lagos,6.607016502,3.401006934,38.369,489892.8572,6609.634059,4,moderately_low_intensity
521,Ojo,2.044719931,565,196.583,Lagos,6.459484086,3.143994795,68.195,695867.6416,3539.815964,4,moderately_low_intensity
543,Chanchaga,2.189523394,282,73.751,Niger,9.60547139,6.514193835,33.141,373749.9565,5067.727305,4,moderately_low_intensity
564,Abeokuta South,1.197962579,490,70.09,Ogun,7.169759161,3.354022564,35.34,421468.1478,6013.242229,4,moderately_low_intensity
569,Ifo,1.318323499,524,487.083,Ogun,6.783523294,3.237972962,127.078,1702206.422,3494.69479,4,moderately_low_intensity
619,Ilesha West,0.99723155,436,65.02,Osun,7.629649866,4.715074851,41.095,293358.9551,4511.82644,4,moderately_low_intensity
627,Olorunda,1.554438055,394,92.957,Osun,7.84198011,4.578304143,54.689,283263.6037,3047.254147,4,moderately_low_intensity
630,Osogbo,1.170654683,415,55.686,Osun,7.745337152,4.584593584,35.722,268329.5385,4818.617579,4,moderately_low_intensity
636,Ibadan North,3.772660545,463,26.46,Oyo,7.411897329,3.910474166,21.508,138047.5151,5217.215234,4,moderately_low_intensity
638,Ibadan North-West,3.441937134,465,28.696,Oyo,7.400765171,3.877505592,26.755,103405.5133,3603.481785,4,moderately_low_intensity
639,Ibadan South-East,1.991615472,478,23.51,Oyo,7.335169824,3.904496922,18.971,230667.9071,9811.480523,4,moderately_low_intensity
640,Ibadan South-West,4.958433186,474,40.226,Oyo,7.354409939,3.863996675,26.686,261598.0926,6503.209183,4,moderately_low_intensity
687,Bonny,8.614411214,743,647.422,Rivers,4.510660586,7.192507086,139.81,107203.6285,165.5853964,4,moderately_low_intensity
688,Degema,8.526271582,723,1023.248,Rivers,4.573433736,6.901457633,223.875,65368.1932,63.88304028,4,moderately_low_intensity
689,Eleme,2.536140166,724,125.84,Rivers,4.768227872,7.165329347,46.559,241243.51,1917.065401,4,moderately_low_intensity
695,Obio-Akpor,5.919052041,718,280.085,Rivers,4.849349351,7.001763658,83.299,1461953.462,5219.677819,4,moderately_low_intensity
698,Okrika,8.13349597,732,226.901,Rivers,4.657420827,7.102013498,89.791,105224.8946,463.7480425,4,moderately_low_intensity
